task,property,taskprop_name,mae_llm_avg,mae_ml_avg,mae_ratio,sali_ecfp,sali_rdkit,sali_maccs,sali_chemberta,sali_avg,stat_mean,stat_median,stat_std,stat_var,stat_min,stat_max,stat_range,stat_q25,stat_q75,stat_iqr,stat_skewness,stat_kurtosis,stat_cv,stat_mad,stat_gini,stat_entropy,stat_energy,stat_rms,stat_p10,stat_p90,stat_p90_p10_ratio,stat_outlier_ratio,stat_z_score_max,tsne_1,tsne_2
robust_zscore,sp3,Robust Standardized sp3,0.2767335997399722,0.1993611208357522,1.3881021463957606,0.848404392811493,0.8494391921330141,0.93321227577527,1.6556919518393658,1.0716869531397857,0.16478217193208078,0.0,0.7078633936694814,0.5010705840972751,-0.6744907594765952,1.2140833670578712,1.8885741265344664,-0.4856333468231485,0.8363685417509781,1.3220018885741265,0.27667520750937474,-1.4403984726368557,4.295752297531589,0.6744907594765952,0.3274995214194161,2.1067295911191057,595.8363880642719,0.7267900303966263,-0.6744907594765952,1.2140833670578712,-1.800000000266868,0.0,1.4823498495752625,49.36837,-904.5956
robust_zscore,tpsa,Robust Standardized $\mathtt{TPSA}$,0.3631080411392619,0.32705219994795076,1.1102449125767975,1.0309457112841829,1.0360144490831769,1.1407603127551025,1.9421303552359703,1.287462707089608,0.21986042415655982,0.0,0.9070465809331095,0.8227334999824439,-0.6744907594765952,6.216086322507114,6.890577081983709,-0.6744907594765952,0.7473255030854746,1.4218162625620698,1.4502445374689987,3.4883751889975825,4.12555640430864,0.6744907594765952,0.4320653287787346,1.2841073810796992,982.5693356726179,0.93331243755387,-0.6744907594765952,1.3087685337494188,-1.940380228424569,0.010638297872340425,6.610714404746483,-187.45282,-814.9302
robust_zscore,mr,Robust Standardized $\mathtt{MR}$,0.44681001552438165,0.40143634376527687,1.1130283106245984,1.1842525869140668,1.1846404414467098,1.3410230578686086,2.277818621311324,1.4969336768851773,0.21349030198916108,-1.3812735677465326e-16,0.9820563082107563,0.9644345924965398,-1.6242617402385466,5.600043625710163,7.22430536594871,-0.548290699256108,0.9224932522455069,1.4707839515016148,0.8003606268050266,0.9533527700346744,4.600004304929108,0.674490759476595,0.3947693058420876,1.6528098588344775,1139.2943273370781,1.0049938813445398,-0.8908742509851912,1.5503773201464774,-1.7402874969233764,0.004432624113475178,5.484974006770505,300.77658,-217.32292
robust_zscore,chi,Robust Standardized $\mathtt{Chi1v}$,0.5652194099089053,0.5027881285501024,1.1241701579924668,1.2920318250036869,1.296071689797297,1.466829204872013,2.518578206486791,1.643377731539947,0.26707432374321705,0.0,1.100010348348466,1.2100227664737138,-1.7949814648626972,7.019442308457037,8.814423773319735,-0.552477028447553,0.935309040846516,1.487786069294069,1.16705078866187,2.3465678566693606,4.118742426943628,0.6744907594765952,0.43504586475312435,1.5412617190805094,1445.3644478688166,1.1319679592977048,-0.8669826533489354,1.7949327526114285,-2.070321414027245,0.012411347517730497,6.1384586016410605,64.4162,-134.39717
robust_zscore,hka,Robust Standardized $\mathtt{HKA}$,0.431750441509457,0.42890173985357966,1.0066418514805975,1.1447191886139154,1.1491300356196503,1.2784801390733458,2.196570581606798,1.4422249862284273,0.00021592740034486594,0.0,0.9457247219647381,0.8943952497352813,-3.5223406328222175,4.1218879745791925,7.64422860740141,-0.6276511234018313,0.7588021044111695,1.3864532278130008,-0.0036851793473200306,0.19530941508825705,4379.827295907258,0.6744907594765952,0.39045233047507666,1.6391592958643009,1008.8778942939937,0.9457247466149564,-1.2768484793980537,1.1204040949083454,-0.8774761556079751,0.0035460992907801418,4.358215399737141,500.0123,313.78253
robust_zscore,bj,Robust Standardized $\mathtt{BJ}$,0.7906289599969387,0.6441909571851037,1.2273207985590477,1.300265006856398,1.3138786308548132,1.4797929823640643,2.692544626481185,1.6966203116391152,-0.08864053095928778,4.2197148553135833e-16,1.0894690387582096,1.1869427864127369,-5.175574745240894,3.963187684227287,9.13876242946818,-0.7942309976620326,0.5869569936621605,1.3811879913241931,0.07339115757843453,0.9884596064888216,-12.290867698644517,0.6744907594765948,0.42386837464620664,1.5804661175331582,1347.7343211995908,1.0930690417999593,-1.4547736866992345,1.063782523838137,-0.7312357472761956,0.020390070921985817,4.669186579253099,315.92343,490.03723
lt,mw,Scaled Robust Standardized $\mathtt{MW}$,519.6746537043975,407.84134888494566,1.274207863241941,1.1814904006384832,1.184680806876426,1.3362419534601713,2.265726748893377,1.4920349774671142,0.2092407082192415,0.0,0.987562440223416,0.9752795733400281,-1.597678799734859,5.758186876518284,7.355865676253143,-0.5865797663879443,0.8481249481449923,1.4347047145329366,0.9058988861349121,1.2424511313803563,4.719743345490173,0.6744907594765952,0.4011052291296937,1.6411443142801776,1149.501086972581,1.0094856350221721,-0.8978932543783663,1.5787512258578071,-1.7582838698645131,0.008865248226950355,5.618830711143394,124.46942,-337.40802
lt,logp,Scaled Robust Standardized $\mathtt{logP}$,643.3043596961495,662.4777943702309,0.9710579964535896,1.472357081389028,1.4939780816387165,1.6758093381042345,2.9755922613421237,1.9044341906185256,0.07424977306040154,1.519238294195313e-16,1.2671871095214196,1.6057631705372502,-6.78076001492882,5.507588575251356,12.288348590180176,-0.6322752189412871,0.727448341930935,1.3597235608722222,0.04192534186932003,2.4102884236991864,17.066545220152715,0.674490759476595,0.47076212839654685,1.4359885458046249,1817.519552851878,1.2693605474162064,-1.256757325942588,1.616205206335194,-1.2860121624925605,0.04964539007092199,5.409627146995019,94.68122,578.615
lt,sp3,Scaled Robust Standardized sp3,293.6205563276967,197.91067942644378,1.483601376027941,0.848404392811493,0.8494391921330141,0.93321227577527,1.6556919518393658,1.0716869531397857,0.16478217193208078,0.0,0.7078633936694814,0.5010705840972751,-0.6744907594765952,1.2140833670578712,1.8885741265344664,-0.4856333468231485,0.8363685417509781,1.3220018885741265,0.27667520750937474,-1.4403984726368557,4.295752297531589,0.6744907594765952,0.3274995214194161,2.1067295911191057,595.8363880642719,0.7267900303966263,-0.6744907594765952,1.2140833670578712,-1.800000000266868,0.0,1.4823498495752625,49.36837,-904.5956
lt,tpsa,Scaled Robust Standardized $\mathtt{TPSA}$,387.40697573988626,316.0187306098537,1.2258987781903539,1.0309457112841829,1.0360144490831769,1.1407603127551025,1.9421303552359703,1.287462707089608,0.21986042415655982,0.0,0.9070465809331095,0.8227334999824439,-0.6744907594765952,6.216086322507114,6.890577081983709,-0.6744907594765952,0.7473255030854746,1.4218162625620698,1.4502445374689987,3.4883751889975825,4.12555640430864,0.6744907594765952,0.4320653287787346,1.2841073810796992,982.5693356726179,0.93331243755387,-0.6744907594765952,1.3087685337494188,-1.940380228424569,0.010638297872340425,6.610714404746483,-147.21715,-963.20935
lt,mr,Scaled Robust Standardized $\mathtt{MR}$,422.1902391834618,385.3879882344214,1.0954940269873035,1.1842525869140668,1.1846404414467098,1.3410230578686086,2.277818621311324,1.4969336768851773,0.21349030198916108,-1.3812735677465326e-16,0.9820563082107563,0.9644345924965398,-1.6242617402385466,5.600043625710163,7.22430536594871,-0.548290699256108,0.9224932522455069,1.4707839515016148,0.8003606268050266,0.9533527700346744,4.600004304929108,0.674490759476595,0.3947693058420876,1.6528098588344775,1139.2943273370781,1.0049938813445398,-0.8908742509851912,1.5503773201464774,-1.7402874969233764,0.004432624113475178,5.484974006770505,300.77658,-217.32292
lt,chi,Scaled Robust Standardized $\mathtt{Chi1v}$,490.1234142982022,479.4893991878552,1.0221777898079887,1.2920318250036869,1.296071689797297,1.466829204872013,2.518578206486791,1.643377731539947,0.26707432374321705,0.0,1.100010348348466,1.2100227664737138,-1.7949814648626972,7.019442308457037,8.814423773319735,-0.552477028447553,0.935309040846516,1.487786069294069,1.16705078866187,2.3465678566693606,4.118742426943628,0.6744907594765952,0.43504586475312435,1.5412617190805094,1445.3644478688166,1.1319679592977048,-0.8669826533489354,1.7949327526114285,-2.070321414027245,0.012411347517730497,6.1384586016410605,64.4162,-134.39717
lt,hka,Scaled Robust Standardized $\mathtt{HKA}$,418.38564191822525,412.9864194049056,1.013073607895145,1.1447191886139154,1.1491300356196503,1.2784801390733458,2.196570581606798,1.4422249862284273,0.00021592740034486594,0.0,0.9457247219647381,0.8943952497352813,-3.5223406328222175,4.1218879745791925,7.64422860740141,-0.6276511234018313,0.7588021044111695,1.3864532278130008,-0.0036851793473200306,0.19530941508825705,4379.827295907258,0.6744907594765952,0.39045233047507666,1.6391592958643009,1008.8778942939937,0.9457247466149564,-1.2768484793980537,1.1204040949083454,-0.8774761556079751,0.0035460992907801418,4.358215399737141,500.0123,313.78253
lt,bj,Scaled Robust Standardized $\mathtt{BJ}$,735.3539773695958,631.8815240671386,1.163752933677268,1.300265006856398,1.3138786308548132,1.4797929823640643,2.692544626481185,1.6966203116391152,-0.08864053095928778,4.2197148553135833e-16,1.0894690387582096,1.1869427864127369,-5.175574745240894,3.963187684227287,9.13876242946818,-0.7942309976620326,0.5869569936621605,1.3811879913241931,0.07339115757843453,0.9884596064888216,-12.290867698644517,0.6744907594765948,0.42386837464620664,1.5804661175331582,1347.7343211995908,1.0930690417999593,-1.4547736866992345,1.063782523838137,-0.7312357472761956,0.020390070921985817,4.669186579253099,315.92343,490.03723
sq,mw,Quadratic Transformed $\mathtt{MW}$,1.8367105711879523,1.782001400788486,1.0307009693568474,2.556760447446913,2.6523006120350563,2.987423621988994,4.9741329586403324,3.292654410027824,0.9950775632623899,-4.8959351384245814e-17,3.5213319021701706,12.399778365241392,-0.8024810385166457,57.68383702930523,58.48631806782188,-0.5716549611618275,1.164688218138481,1.7363431793003086,8.328947445092398,110.96944750646952,3.5387511809887306,0.6744907594765952,0.6423123474881891,0.2900400824751409,15103.872310584758,3.6592291158315855,-0.7620025569149648,3.5966648366711276,-4.720016756511352,0.09663120567375887,16.098669776372393,-960.79095,-128.98958
sq,logp,Quadratic Transformed $\mathtt{logP}$,2.51799067743213,2.592128420944161,0.9713988925421269,4.1175436299638575,4.242167273487119,4.754457791170124,7.971437089113939,5.27140144593376,1.8643653946051606,0.0,5.451527643479431,29.719153647620402,-0.7334980555055939,73.3980519399568,74.1315499954624,-0.5552473854757928,1.7370531884707228,2.2923005739465157,5.380649466740625,43.86921664771124,2.924066097372488,0.6744907594765952,0.7113311455336591,0.4129724945852549,37443.973504666035,5.761511257666834,-0.7031859771148211,6.339363692417814,-9.015202093946476,0.125,13.121769020269582,-874.79614,270.47723
sq,sp3,Quadratic Transformed sp3,0.5357084054665578,0.39530884210195666,1.3551642372026422,1.1946372088354658,1.1875072546734642,1.3262193680959595,2.400969234116533,1.5273332664303556,0.15260837222797555,0.0,1.0609979109304137,1.1257165669987024,-0.9473480500779294,2.1220596321745613,3.069407682252491,-0.6794025285861911,0.5092943117218949,1.188696840308086,0.9545162314141824,-0.500449235081319,6.952422697657973,0.6744907594765951,0.49885522610356325,1.794463572693191,1296.07863520369,1.0719169194824638,-0.9094541280748122,2.1220596321745613,-2.333333333589897,0.0,1.8562253890014997,461.0684,-413.44513
sq,tpsa,Quadratic Transformed $\mathtt{TPSA}$,2.0179815713497,2.0523007486271494,0.9832777056187273,2.5487273192725604,2.6322682699126387,2.953930991309465,4.795682126975309,3.232652176867493,0.7958863351016836,0.0,4.201517393655575,17.652748409190334,-0.8701007040657227,73.03111544325228,73.901216147318,-0.7629336172618066,0.1980673196059591,0.9610009368677658,8.339142241395761,101.84430894507372,5.2790420043067865,0.6744907594765952,0.7369847084313297,0.2185211058928406,20626.814951443692,4.276234730179334,-0.8242092413505698,2.407219558750888,-2.9206413108137714,0.16046099290780141,17.192652639550676,-1059.8052,255.26213
sq,mr,Quadratic Transformed $\mathtt{MR}$,1.5947381535840894,1.4983378205548639,1.0643381830897967,2.4605143446034266,2.534711195122348,2.8785424445999923,4.856276959197403,3.182511235880792,0.9671162213017026,0.0,3.292095754976624,10.837894459935109,-0.7926425917210381,53.847269251725976,54.63991184344702,-0.5371244105614501,1.3308312088964398,1.86795561945789,8.552671195567056,117.26617531261212,3.4040332304069776,0.6744907594765952,0.6196048039072171,0.2990693191699553,13280.178900856312,3.4312109007520935,-0.7414415938800448,3.4045666660388147,-4.591820440881294,0.08421985815602837,16.06276274026536,-821.5424,-213.85811
sq,chi,Quadratic Transformed $\mathtt{Chi1v}$,1.9871806877190015,2.153068369912785,0.9229528961959981,3.2964622801030328,3.395543194775926,3.8507593452111584,6.477099978582481,4.254966199668149,1.391840637699284,0.0,4.872175589218974,23.73809497218126,-0.7662040844691672,82.2183753934573,82.98457947792646,-0.5598940431648239,1.348105487473853,1.9079995306386768,9.222206523588815,133.00400138217302,3.5005268974418597,0.6744907594765952,0.6919201084719144,0.3008139203726523,28961.755695547756,5.067081539992465,-0.7297489641598592,4.68121714782431,-6.414832193499795,0.11436170212765957,16.589413348445177,-931.5129,113.06117
sq,hka,Quadratic Transformed $\mathtt{HKA}$,1.3364849649892565,1.348187486396132,0.9913198115803924,2.2612121664574363,2.3054613501645878,2.582760845214552,4.462192613816089,2.9029067439131664,0.8248063102817967,5.2093713957919356e-17,2.4872081046825523,6.186204155998575,-0.8538608295791624,31.034151633099434,31.888012462678596,-0.6033356903449983,1.1391399493382501,1.7424756396832484,4.094753858251825,29.79686082689154,3.0155056692434767,0.6744907594765952,0.5856201092053408,0.5909560549313552,7745.42283498059,2.6204025655382126,-0.8215775111768637,3.630390922985015,-4.4188051328554065,0.09219858156028368,12.145885688432701,-627.21497,45.31075
sq,bj,Quadratic Transformed $\mathtt{BJ}$,1.673333434580767,1.6208424027178296,1.0323850312497505,2.86909326338964,2.911790464087641,3.2683963488776047,6.371074686766429,3.855088690780329,1.2253385273284378,0.0,3.399751325096867,11.558309072497904,-0.7534449202221628,43.60970279185168,44.36314771207385,-0.5516278732516905,1.4259889515762283,1.9776168248279187,4.380952981589086,31.385531542648685,2.7745404631234636,0.6744907594765952,0.6573803272335426,0.5149313106369242,14731.413317172157,3.6138294894824976,-0.7085893511980855,5.032585272168018,-7.102259248419596,0.11790780141843972,12.466901314705895,-1054.47,26.511024
lg,mw,Logarithmic Transformed $\mathtt{MW}$,1.1906214705831588,1.0772106689462115,1.1052819145839803,1.6321440966503644,1.6458631207582644,1.876269757492099,3.3529664310267364,2.126810851481866,-0.3026976813357298,3.8044066391650956e-14,1.51854338949931,2.305974025792053,-9.457685956795489,2.868676776922573,12.326362733718062,-0.8378504926937552,0.5993872982373488,1.437237790931104,-2.2490184502518757,8.562549803069052,-5.016699773841526,0.6744907594765571,0.5081689968314309,1.4520590613460054,2704.4927008240747,1.5484185196767961,-2.0049542318199394,1.1376126813580416,-0.567400823101157,0.04698581560283688,6.028795975647635,59.717075,1076.0848
lg,logp,Logarithmic Transformed $\mathtt{logP}$,0.8464630325460359,0.7438611059887137,1.13793156508828,1.439984179138547,1.4536399704125795,1.654879839370344,3.379617397146589,1.982030346517015,-0.1981376689768043,2.9023848211948144e-14,1.3084665002930964,1.7120845823892634,-9.886982167357562,2.356164620242675,12.243146787600237,-0.7224416578008672,0.6204089616000122,1.3428506194008794,-2.2785612146424206,11.633454948549641,-6.603825042709455,0.6744907594765662,0.4720174073115073,1.3598939339175442,1975.515037393699,1.323383209148743,-1.63483124795945,1.1571067137399909,-0.7077835802655699,0.03280141843971631,7.404732559993288,125.47185,819.9124
lg,sp3,Logarithmic Transformed sp3,0.6237333891176883,0.5649713557510891,1.104008871898433,1.362234722609151,1.3685386714916603,1.5431832964347465,2.8135429147254025,1.7718749013152402,-0.4707644611366705,0.0,1.275453549428399,1.6267817567495013,-8.582388745677907,0.7776481338173168,9.360036879495224,-0.8320409648683045,0.2870120414568245,1.119053006325129,-2.1657652582018856,7.322476661031487,-2.7093242050361876,0.6744907594765952,0.5779411850878675,1.276561601353218,2084.996254250008,1.3595590956699166,-2.109290717979383,0.7776481338173168,-0.3686775498633686,0.07092198581560284,6.359795923713962,208.65842,1148.4237
lg,tpsa,Logarithmic Transformed $\mathtt{TPSA}$,1.0882804373066792,0.9820571980102469,1.1081640046136334,1.8932727077649147,1.8844881609181727,2.130433616251514,4.143381733643204,2.512894054644451,-0.6687574925693275,0.0,1.8863817314700804,3.5584360368240584,-8.224303238586817,2.8067967037509134,11.03109994233773,-1.325819324949943,0.13305549258791138,1.4588748175378545,-2.398234449782202,6.957944009656302,-2.820726126331252,0.6744907594765952,0.6381244064673031,1.57049651121245,4518.3987161402065,2.001417652738097,-1.8578741455655363,0.8397116006908631,-0.4519744261150976,0.057624113475177305,4.005311130811981,185.90672,971.5468
lg,mr,Logarithmic Transformed $\mathtt{MR}$,1.1283419017272316,0.9525020815566272,1.1846083316513472,1.5360354721946967,1.5485773047736149,1.7726685530026407,3.2568383892022608,2.0285299297933035,-0.2499343032326091,0.0,1.3805775216192406,1.9059942932003247,-9.59524125535045,2.7654498816283977,12.360691136978847,-0.7371103342575989,0.6457712325092838,1.3828815667668826,-1.892873146492724,6.469881125444003,-5.523761659616461,0.6744907594765952,0.4802019116003762,1.4035669826286081,2220.42451462168,1.4030186916547815,-1.7857886362416946,1.0903341238100441,-0.6105616878410525,0.051418439716312055,6.7691287202452735,5.6416106,920.10144
lg,chi,Logarithmic Transformed $\mathtt{Chi1v}$,0.9588988569621554,0.8562636329326418,1.1198640466347907,1.4813285386386623,1.4922178627760418,1.704913065252771,3.216354157550336,1.9737034060544527,-0.2063839378543005,0.0,1.2705041793759606,1.6141808698117832,-8.095351588581075,2.843006252820984,10.938357841402059,-0.7922243156114741,0.6167903736234737,1.4090146892349478,-1.266922275218723,3.4275014589015944,-6.15602256931879,0.6744907594765952,0.47413498809238286,1.4834860362917652,1868.8424251668832,1.2871577990347691,-1.8461750139488469,1.1909711011770652,-0.6451019498385294,0.03368794326241135,6.209320503456851,317.67874,877.9398
